Channel_0,ValueToPredict,subjectID
processed_images/n01440764/ILSVRC2012_val_00000293.JPEG,0,0
processed_images/n01440764/ILSVRC2012_val_00002138.JPEG,0,1
processed_images/n01440764/ILSVRC2012_val_00003014.JPEG,0,2
processed_images/n01440764/ILSVRC2012_val_00006697.JPEG,0,3
processed_images/n01440764/ILSVRC2012_val_00007197.JPEG,0,4
processed_images/n01440764/ILSVRC2012_val_00009111.JPEG,0,5
processed_images/n01440764/ILSVRC2012_val_00009191.JPEG,0,6
processed_images/n01440764/ILSVRC2012_val_00009346.JPEG,0,7
processed_images/n01440764/ILSVRC2012_val_00009379.JPEG,0,8
processed_images/n01440764/ILSVRC2012_val_00009396.JPEG,0,9
processed_images/n01440764/ILSVRC2012_val_00010306.JPEG,0,10
processed_images/n01440764/ILSVRC2012_val_00011233.JPEG,0,11
processed_images/n01440764/ILSVRC2012_val_00011993.JPEG,0,12
processed_images/n01440764/ILSVRC2012_val_00012503.JPEG,0,13
processed_images/n01440764/ILSVRC2012_val_00013716.JPEG,0,14
processed_images/n01440764/ILSVRC2012_val_00016018.JPEG,0,15
processed_images/n01440764/ILSVRC2012_val_00017472.JPEG,0,16
processed_images/n01440764/ILSVRC2012_val_00017699.JPEG,0,17
processed_images/n01440764/ILSVRC2012_val_00017700.JPEG,0,18
processed_images/n01440764/ILSVRC2012_val_00017995.JPEG,0,19
processed_images/n01440764/ILSVRC2012_val_00018317.JPEG,0,20
processed_images/n01440764/ILSVRC2012_val_00021740.JPEG,0,21
processed_images/n01440764/ILSVRC2012_val_00023559.JPEG,0,22
processed_images/n01440764/ILSVRC2012_val_00024235.JPEG,0,23
processed_images/n01440764/ILSVRC2012_val_00024327.JPEG,0,24
processed_images/n01440764/ILSVRC2012_val_00025129.JPEG,0,25
processed_images/n01440764/ILSVRC2012_val_00025527.JPEG,0,26
processed_images/n01440764/ILSVRC2012_val_00026064.JPEG,0,27
processed_images/n01440764/ILSVRC2012_val_00026397.JPEG,0,28
processed_images/n01440764/ILSVRC2012_val_00028158.JPEG,0,29
processed_images/n01440764/ILSVRC2012_val_00029930.JPEG,0,30
processed_images/n01440764/ILSVRC2012_val_00030740.JPEG,0,31
