Channel_0,ValueToPredict,subjectID
processed_images/n01440764/n01440764_10150.JPEG,0,65
processed_images/n02102040/n02102040_1049.JPEG,1,65
processed_images/n02102040/ILSVRC2012_val_00032959.JPEG,1,35
processed_images/n01440764/ILSVRC2012_val_00037375.JPEG,0,35
processed_images/n02102040/n02102040_1097.JPEG,1,85
processed_images/n01440764/n01440764_10342.JPEG,0,85
processed_images/n02102040/n02102040_1036.JPEG,1,62
processed_images/n01440764/n01440764_10110.JPEG,0,62
processed_images/n02102040/ILSVRC2012_val_00004553.JPEG,1,5
processed_images/n01440764/ILSVRC2012_val_00009111.JPEG,0,5
processed_images/n01440764/n01440764_10331.JPEG,0,84
processed_images/n02102040/n02102040_1096.JPEG,1,84
processed_images/n01440764/n01440764_10482.JPEG,0,99
processed_images/n02102040/n02102040_1127.JPEG,1,99
processed_images/n01440764/ILSVRC2012_val_00024235.JPEG,0,23
processed_images/n02102040/ILSVRC2012_val_00019414.JPEG,1,23
processed_images/n02102040/ILSVRC2012_val_00002315.JPEG,1,3
processed_images/n01440764/ILSVRC2012_val_00006697.JPEG,0,3
processed_images/n02102040/n02102040_1079.JPEG,1,76
processed_images/n01440764/n01440764_10281.JPEG,0,76
processed_images/n01440764/ILSVRC2012_val_00009191.JPEG,0,6
processed_images/n02102040/ILSVRC2012_val_00004650.JPEG,1,6
processed_images/n02102040/n02102040_1028.JPEG,1,59
processed_images/n01440764/n01440764_1009.JPEG,0,59
processed_images/n01440764/n01440764_10108.JPEG,0,61
processed_images/n02102040/n02102040_1033.JPEG,1,61
processed_images/n02102040/n02102040_1078.JPEG,1,75
processed_images/n01440764/n01440764_10254.JPEG,0,75
processed_images/n02102040/n02102040_1016.JPEG,1,55
processed_images/n01440764/n01440764_10043.JPEG,0,55
processed_images/n02102040/ILSVRC2012_val_00018207.JPEG,1,22
processed_images/n01440764/ILSVRC2012_val_00023559.JPEG,0,22
processed_images/n02102040/n02102040_1082.JPEG,1,79
processed_images/n01440764/n01440764_10307.JPEG,0,79
processed_images/n02102040/n02102040_108.JPEG,1,77
processed_images/n01440764/n01440764_10290.JPEG,0,77
processed_images/n02102040/ILSVRC2012_val_00025442.JPEG,1,30
processed_images/n01440764/ILSVRC2012_val_00029930.JPEG,0,30
processed_images/n01440764/ILSVRC2012_val_00046252.JPEG,0,46
processed_images/n02102040/ILSVRC2012_val_00046295.JPEG,1,46
processed_images/n02102040/n02102040_1019.JPEG,1,56
processed_images/n01440764/n01440764_10048.JPEG,0,56
processed_images/n01440764/ILSVRC2012_val_00026397.JPEG,0,28
processed_images/n02102040/ILSVRC2012_val_00023440.JPEG,1,28
processed_images/n02102040/n02102040_1091.JPEG,1,81
processed_images/n01440764/n01440764_10319.JPEG,0,81
processed_images/n01440764/n01440764_10427.JPEG,0,93
processed_images/n02102040/n02102040_1112.JPEG,1,93
processed_images/n02102040/n02102040_1030.JPEG,1,60
processed_images/n01440764/n01440764_10095.JPEG,0,60
processed_images/n01440764/n01440764_10251.JPEG,0,74
processed_images/n02102040/n02102040_1077.JPEG,1,74
processed_images/n02102040/n02102040_1044.JPEG,1,64
processed_images/n01440764/n01440764_10124.JPEG,0,64
processed_images/n01440764/n01440764_10183.JPEG,0,68
processed_images/n02102040/n02102040_1058.JPEG,1,68
processed_images/n01440764/n01440764_10040.JPEG,0,53
processed_images/n02102040/n02102040_1011.JPEG,1,53
processed_images/n02102040/ILSVRC2012_val_00040140.JPEG,1,40
processed_images/n01440764/ILSVRC2012_val_00039905.JPEG,0,40
processed_images/n02102040/ILSVRC2012_val_00014125.JPEG,1,13
processed_images/n01440764/ILSVRC2012_val_00012503.JPEG,0,13
processed_images/n01440764/ILSVRC2012_val_00041939.JPEG,0,43
processed_images/n02102040/ILSVRC2012_val_00040876.JPEG,1,43
processed_images/n01440764/ILSVRC2012_val_00017700.JPEG,0,18
processed_images/n02102040/ILSVRC2012_val_00016768.JPEG,1,18
processed_images/n02102040/n02102040_1102.JPEG,1,88
processed_images/n01440764/n01440764_10373.JPEG,0,88
processed_images/n01440764/n01440764_10444.JPEG,0,94
processed_images/n02102040/n02102040_1114.JPEG,1,94
processed_images/n01440764/ILSVRC2012_val_00037861.JPEG,0,39
processed_images/n02102040/ILSVRC2012_val_00038569.JPEG,1,39
processed_images/n01440764/ILSVRC2012_val_00024327.JPEG,0,24
processed_images/n02102040/ILSVRC2012_val_00021016.JPEG,1,24
processed_images/n01440764/ILSVRC2012_val_00010306.JPEG,0,10
processed_images/n02102040/ILSVRC2012_val_00008334.JPEG,1,10
processed_images/n01440764/ILSVRC2012_val_00002138.JPEG,0,1
processed_images/n02102040/ILSVRC2012_val_00001968.JPEG,1,1
processed_images/n02102040/ILSVRC2012_val_00026521.JPEG,1,31
processed_images/n01440764/ILSVRC2012_val_00030740.JPEG,0,31
processed_images/n01440764/n01440764_10365.JPEG,0,87
processed_images/n02102040/n02102040_1100.JPEG,1,87
processed_images/n02102040/ILSVRC2012_val_00040546.JPEG,1,41
processed_images/n01440764/ILSVRC2012_val_00040358.JPEG,0,41
processed_images/n02102040/n02102040_1022.JPEG,1,57
processed_images/n01440764/n01440764_10066.JPEG,0,57
processed_images/n02102040/n02102040_1037.JPEG,1,63
processed_images/n01440764/n01440764_10120.JPEG,0,63
processed_images/n01440764/ILSVRC2012_val_00000293.JPEG,0,0
processed_images/n02102040/ILSVRC2012_val_00000665.JPEG,1,0
processed_images/n02102040/ILSVRC2012_val_00015499.JPEG,1,15
processed_images/n01440764/ILSVRC2012_val_00016018.JPEG,0,15
processed_images/n01440764/ILSVRC2012_val_00037383.JPEG,0,36
processed_images/n02102040/ILSVRC2012_val_00035723.JPEG,1,36
processed_images/n02102040/n02102040_1055.JPEG,1,66
processed_images/n01440764/n01440764_10159.JPEG,0,66
processed_images/n01440764/ILSVRC2012_val_00017472.JPEG,0,16
processed_images/n02102040/ILSVRC2012_val_00015694.JPEG,1,16
processed_images/n01440764/n01440764_10218.JPEG,0,71
processed_images/n02102040/n02102040_1068.JPEG,1,71
