Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26612137984,9.5,2318417920,
1,29415034880,26588475392,9.6,2346643456,
2,29415034880,26592083968,9.6,2342998016,
3,29415034880,26492964864,9.9,2442121216,
4,29415034880,26592194560,9.6,2342887424,
5,29415034880,26606510080,9.5,2328580096,
6,29415034880,26612490240,9.5,2322599936,
7,29415034880,26618163200,9.5,2316869632,
8,29415034880,26618179584,9.5,2316857344,
9,29415034880,26590150656,9.6,2345140224,
10,29415034880,26601750528,9.6,2333331456,
11,29415034880,26599833600,9.6,2335211520,
12,29415034880,26580090880,9.6,2354995200,
13,29415034880,26595196928,9.6,2339893248,
14,29415034880,26599284736,9.6,2335776768,
15,29415034880,26584633344,9.6,2350432256,
16,29415034880,26582749184,9.6,2352300032,
17,29415034880,26587860992,9.6,2347192320,
18,29415034880,26609631232,9.5,2325454848,
19,29415034880,26595610624,9.6,2339442688,
