epoch_no,train_loss,train_classification_accuracy,train_f1,train_accuracy_global,train_precision_global,train_recall_global,train_f1_global,train_specificity_global,train_accuracy_per_class,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_specificity_per_class,train_accuracy_per_class_average,train_precision_per_class_average,train_recall_per_class_average,train_f1_per_class_average,train_specificity_per_class_average,train_accuracy_per_class_weighted,train_precision_per_class_weighted,train_recall_per_class_weighted,train_f1_per_class_weighted,train_specificity_per_class_weighted,train_mcc
0,0.885148567557335,0.605,0.10833333432674408,0.4976525902748108,0.5094339847564697,0.12558139860630035,0.2014925330877304,0.8767772316932678,0.4976525902748108,0.5094339847564697,0.12558139860630035,0.2014925330877304,0.8767772316932678,0.4976525902748108,0.5094339847564697,0.12558139860630035,0.2014925330877304,0.8767772316932678,0.4976525902748108,0.5094339847564697,0.12558139860630035,0.2014925330877304,0.8767772316932678,0.0035729832015931606
1,0.8115075369179249,0.5675,0.023333333730697632,0.4938271641731262,0.6000000238418579,0.028985507786273956,0.0552995391190052,0.9797979593276978,0.4938271641731262,0.6000000238418579,0.028985507786273956,0.0552995391190052,0.9797979593276978,0.4938271641731262,0.6000000238418579,0.028985507786273956,0.0552995391190052,0.9797979593276978,0.4938271641731262,0.6000000238418579,0.028985507786273956,0.0552995391190052,0.9797979593276978,0.028293468058109283
2,0.789950419664383,0.6075,0.02166666716337204,0.5240506529808044,0.8571428656578064,0.031088082119822502,0.05999999865889549,0.9950494766235352,0.5240506529808044,0.8571428656578064,0.031088082119822502,0.05999999865889549,0.9950494766235352,0.5240506529808044,0.8571428656578064,0.031088082119822502,0.05999999865889549,0.9950494766235352,0.5240506529808044,0.8571428656578064,0.031088082119822502,0.05999999865889549,0.9950494766235352,0.09902730584144592
3,0.8329236730933189,0.6125,0.025000000298023226,0.5133820176124573,0.6666666865348816,0.029556650668382645,0.056603774428367615,0.9855769276618958,0.5133820176124573,0.6666666865348816,0.029556650668382645,0.056603774428367615,0.9855769276618958,0.5133820176124573,0.6666666865348816,0.029556650668382645,0.056603774428367615,0.9855769276618958,0.5133820176124573,0.6666666865348816,0.029556650668382645,0.056603774428367615,0.9855769276618958,0.05169956386089325
4,0.7804412950575351,0.5975,0.03666666716337204,0.5279187560081482,0.75,0.046875,0.0882352963089943,0.9851484894752502,0.5279187560081482,0.75,0.046875,0.0882352963089943,0.9851484894752502,0.5279187560081482,0.75,0.046875,0.0882352963089943,0.9851484894752502,0.5279187560081482,0.75,0.046875,0.0882352963089943,0.9851484894752502,0.0931478887796402
5,0.8483390511572361,0.6,0.030000000298023223,0.47417840361595154,0.4375,0.03153153136372566,0.05882352963089943,0.9558823704719543,0.47417840361595154,0.4375,0.03153153136372566,0.05882352963089943,0.9558823704719543,0.47417840361595154,0.4375,0.03153153136372566,0.05882352963089943,0.9558823704719543,0.47417840361595154,0.4375,0.03153153136372566,0.05882352963089943,0.9558823704719543,-0.03306978568434715
6,0.771634721159935,0.5875,0.03333333343267441,0.5158730149269104,0.6363636255264282,0.037634409964084625,0.0710659921169281,0.9791666865348816,0.5158730149269104,0.6363636255264282,0.037634409964084625,0.0710659921169281,0.9791666865348816,0.5158730149269104,0.6363636255264282,0.037634409964084625,0.0710659921169281,0.9791666865348816,0.5158730149269104,0.6363636255264282,0.037634409964084625,0.0710659921169281,0.9791666865348816,0.04997062683105469
7,0.8660765591263772,0.595,0.023333333432674408,0.4861751198768616,1.0,0.021929824724793434,0.042918454855680466,1.0,0.4861751198768616,1.0,0.021929824724793434,0.042918454855680466,1.0,0.4861751198768616,1.0,0.021929824724793434,0.042918454855680466,1.0,0.4861751198768616,1.0,0.021929824724793434,0.042918454855680466,1.0,0.1026177704334259
8,0.7324974079430103,0.58,0.033333333730697634,0.5306666493415833,0.8888888955116272,0.04371584579348564,0.0833333358168602,0.9947916865348816,0.5306666493415833,0.8888888955116272,0.04371584579348564,0.0833333358168602,0.9947916865348816,0.5306666493415833,0.8888888955116272,0.04371584579348564,0.0833333358168602,0.9947916865348816,0.5306666493415833,0.8888888955116272,0.04371584579348564,0.0833333358168602,0.9947916865348816,0.12576501071453094
9,0.7261455963551998,0.5775,0.01,0.5196850299835205,1.0,0.010810811072587967,0.02139037474989891,1.0,0.5196850299835205,1.0,0.010810811072587967,0.02139037474989891,1.0,0.5196850299835205,1.0,0.010810811072587967,0.02139037474989891,1.0,0.5196850299835205,1.0,0.010810811072587967,0.02139037474989891,1.0,0.07477175444364548
10,0.7588449980318547,0.58,0.0,0.49242424964904785,0.0,0.0,0.0,1.0,0.49242424964904785,0.0,0.0,0.0,1.0,0.49242424964904785,0.0,0.0,0.0,1.0,0.49242424964904785,0.0,0.0,0.0,1.0,-0.0015229593263939023
11,0.7787868523597717,0.615,0.04500000029802322,0.5320196747779846,0.8333333134651184,0.05050504952669144,0.095238097012043,0.9903846383094788,0.5320196747779846,0.8333333134651184,0.05050504952669144,0.095238097012043,0.9903846383094788,0.5320196747779846,0.8333333134651184,0.05050504952669144,0.095238097012043,0.9903846383094788,0.5320196747779846,0.8333333134651184,0.05050504952669144,0.095238097012043,0.9903846383094788,0.1206810474395752
12,0.7054722292721272,0.6025,0.031666666865348816,0.5136476159095764,1.0,0.03448275849223137,0.06666667014360428,1.0,0.5136476159095764,1.0,0.03448275849223137,0.06666667014360428,1.0,0.5136476159095764,1.0,0.03448275849223137,0.06666667014360428,1.0,0.5136476159095764,1.0,0.03448275849223137,0.06666667014360428,1.0,0.1319679319858551
13,0.6571219126880169,0.61,0.040000000298023225,0.5240506529808044,1.0,0.04568528011441231,0.08737864345312119,1.0,0.5240506529808044,1.0,0.04568528011441231,0.08737864345312119,1.0,0.5240506529808044,1.0,0.04568528011441231,0.08737864345312119,1.0,0.5240506529808044,1.0,0.04568528011441231,0.08737864345312119,1.0,0.15308304131031036
14,0.6441754989326001,0.64,0.14000000149011613,0.5770235061645508,0.8947368264198303,0.1770833283662796,0.2956521809101105,0.9790576100349426,0.5770235061645508,0.8947368264198303,0.1770833283662796,0.2956521809101105,0.9790576100349426,0.5770235061645508,0.8947368264198303,0.1770833283662796,0.2956521809101105,0.9790576100349426,0.5770235061645508,0.8947368264198303,0.1770833283662796,0.2956521809101105,0.9790576100349426,0.26114559173583984
15,0.660433074682951,0.8775,0.4400000023841858,0.7325301170349121,0.8692307472229004,0.5458937287330627,0.6706231236457825,0.9182692170143127,0.7325301170349121,0.8692307472229004,0.5458937287330627,0.6706231236457825,0.9182692170143127,0.7325301170349121,0.8692307472229004,0.5458937287330627,0.6706231236457825,0.9182692170143127,0.7325301170349121,0.8692307472229004,0.5458937287330627,0.6706231236457825,0.9182692170143127,0.5003722310066223
16,0.6627813717722892,1.0,0.7000000029802322,0.7957746386528015,0.7863247990608215,0.8325791954994202,0.8087912201881409,0.7560975551605225,0.7957746386528015,0.7863247990608215,0.8325791954994202,0.8087912201881409,0.7560975551605225,0.7957746386528015,0.7863247990608215,0.8325791954994202,0.8087912201881409,0.7560975551605225,0.7957746386528015,0.7863247990608215,0.8325791954994202,0.8087912201881409,0.7560975551605225,0.5911414623260498
17,0.5058293275535106,0.975,0.6366666677594185,0.8986666798591614,0.9454545378684998,0.8432432413101196,0.8914285898208618,0.9526315927505493,0.8986666798591614,0.9454545378684998,0.8432432413101196,0.8914285898208618,0.9526315927505493,0.8986666798591614,0.9454545378684998,0.8432432413101196,0.8914285898208618,0.9526315927505493,0.8986666798591614,0.9454545378684998,0.8432432413101196,0.8914285898208618,0.9526315927505493,0.801596462726593
18,0.45652693673968314,1.15,0.7783333346247673,0.9483568072319031,0.9558823704719543,0.9375,0.946601927280426,0.9587156176567078,0.9483568072319031,0.9558823704719543,0.9375,0.946601927280426,0.9587156176567078,0.9483568072319031,0.9558823704719543,0.9375,0.946601927280426,0.9587156176567078,0.9483568072319031,0.9558823704719543,0.9375,0.946601927280426,0.9587156176567078,0.8967695236206055
