Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26620399616,9.5,2310262784,
1,29415034880,26554912768,9.7,2380242944,
2,29415034880,26640543744,9.4,2294722560,
3,29415034880,26669133824,9.3,2265935872,
4,29415034880,26649997312,9.4,2285076480,
5,29415034880,26645037056,9.4,2289991680,
6,29415034880,26644586496,9.4,2290708480,
7,29415034880,26603782144,9.6,2331295744,
8,29415034880,26616680448,9.5,2318397440,
9,29415034880,26629197824,9.5,2305875968,
10,29415034880,26643345408,9.4,2291744768,
11,29415034880,26630713344,9.5,2304319488,
12,29415034880,26635149312,9.5,2299887616,
13,29415034880,26632224768,9.5,2302865408,
14,29415034880,26620112896,9.5,2314969088,
15,29415034880,26633199616,9.5,2301882368,
16,29415034880,26620252160,9.5,2315014144,
17,29415034880,26642120704,9.4,2292916224,
18,29415034880,26603184128,9.6,2332073984,
19,29415034880,26603675648,9.6,2331406336,
20,29415034880,26594406400,9.6,2340675584,
21,29415034880,26482376704,10.0,2452701184,
22,29415034880,26584616960,9.6,2350473216,
23,29415034880,26596724736,9.6,2338336768,
24,29415034880,26615742464,9.5,2319327232,
25,29415034880,26606600192,9.5,2328481792,
26,29415034880,26581979136,9.6,2353053696,
27,29415034880,26624491520,9.5,2310791168,
28,29415034880,26606202880,9.5,2328887296,
29,29415034880,26646130688,9.4,2288930816,
30,29415034880,26611744768,9.5,2323279872,
31,29415034880,26606575616,9.5,2328510464,
32,29415034880,26637168640,9.4,2297892864,
33,29415034880,26623516672,9.5,2311557120,
34,29415034880,26630397952,9.5,2304663552,
35,29415034880,26619453440,9.5,2315595776,
36,29415034880,26614284288,9.5,2320977920,
37,29415034880,26623025152,9.5,2312065024,
38,29415034880,26625380352,9.5,2309701632,
39,29415034880,26633551872,9.5,2301521920,
40,29415034880,26647363584,9.4,2287681536,
41,29415034880,26611945472,9.5,2323132416,
42,29415034880,26647740416,9.4,2287341568,
43,29415034880,26595696640,9.6,2339340288,
44,29415034880,26540716032,9.8,2394374144,
45,29415034880,26627166208,9.5,2307919872,
46,29415034880,26615033856,9.5,2320232448,
47,29415034880,26641416192,9.4,2293620736,
48,29415034880,26635882496,9.4,2299162624,
49,29415034880,26625622016,9.5,2309447680,
50,29415034880,26633056256,9.5,2301976576,
51,29415034880,26623438848,9.5,2311634944,
52,29415034880,26622676992,9.5,2312413184,
53,29415034880,26628812800,9.5,2306449408,
54,29415034880,26625323008,9.5,2309767168,
55,29415034880,26624704512,9.5,2310361088,
56,29415034880,26619826176,9.5,2315255808,
57,29415034880,26635624448,9.4,2299437056,
58,29415034880,26638786560,9.4,2296299520,
59,29415034880,26626580480,9.5,2308505600,
60,29415034880,26644127744,9.4,2290921472,
61,29415034880,26629750784,9.5,2305286144,
62,29415034880,26608197632,9.5,2326872064,
63,29415034880,26609336320,9.5,2325712896,
64,29415034880,26633043968,9.5,2302038016,
65,29415034880,26620420096,9.5,2314620928,
66,29415034880,26632323072,9.5,2302713856,
67,29415034880,26503303168,9.9,2431787008,
68,29415034880,26633437184,9.5,2301644800,
69,29415034880,26611396608,9.5,2323873792,
70,29415034880,26598744064,9.6,2336342016,
71,29415034880,26655748096,9.4,2279329792,
72,29415034880,26637934592,9.4,2297147392,
73,29415034880,26627518464,9.5,2307563520,
74,29415034880,26615721984,9.5,2319323136,
75,29415034880,26631593984,9.5,2303496192,
76,29415034880,26611630080,9.5,2323423232,
77,29415034880,26631823360,9.5,2303221760,
78,29415034880,26606108672,9.5,2328948736,
79,29415034880,26638057472,9.4,2297208832,
80,29415034880,26626297856,9.5,2308734976,
81,29415034880,26614222848,9.5,2320822272,
82,29415034880,26623565824,9.5,2311520256,
83,29415034880,26624888832,9.5,2310193152,
84,29415034880,26603429888,9.6,2331639808,
85,29415034880,26585559040,9.6,2349531136,
86,29415034880,26643484672,9.4,2291785728,
87,29415034880,26614222848,9.5,2320859136,
88,29415034880,26618802176,9.5,2316279808,
89,29415034880,26501521408,9.9,2433564672,
90,29415034880,26630512640,9.5,2304544768,
91,29415034880,26613411840,9.5,2321670144,
92,29415034880,26624950272,9.5,2310139904,
93,29415034880,26611777536,9.5,2323300352,
94,29415034880,26625642496,9.5,2309402624,
95,29415034880,26628984832,9.5,2306101248,
96,29415034880,26622431232,9.5,2312658944,
97,29415034880,26632986624,9.5,2302095360,
98,29415034880,26621730816,9.5,2313338880,
99,29415034880,26618589184,9.5,2316488704,
100,29415034880,26614751232,9.5,2320289792,
101,29415034880,26616651776,9.5,2318639104,
102,29415034880,26614108160,9.5,2320973824,
103,29415034880,26612133888,9.5,2322890752,
104,29415034880,26611245056,9.5,2323791872,
105,29415034880,26611142656,9.5,2323947520,
106,29415034880,26613264384,9.5,2321793024,
107,29415034880,26621104128,9.5,2313981952,
108,29415034880,26592804864,9.6,2342244352,
109,29415034880,26648182784,9.4,2286895104,
110,29415034880,26616094720,9.5,2318995456,
111,29415034880,26628927488,9.5,2306162688,
112,29415034880,26508955648,9.9,2426077184,
113,29415034880,26639753216,9.4,2295279616,
114,29415034880,26626330624,9.5,2308755456,
115,29415034880,26631458816,9.5,2303631360,
116,29415034880,26605133824,9.6,2329935872,
117,29415034880,26594582528,9.6,2340474880,
118,29415034880,26604113920,9.6,2330910720,
119,29415034880,26620841984,9.5,2314235904,
120,29415034880,26626101248,9.5,2308988928,
121,29415034880,26615885824,9.5,2319204352,
122,29415034880,26613141504,9.5,2321940480,
123,29415034880,26627948544,9.5,2307084288,
124,29415034880,26610626560,9.5,2324463616,
125,29415034880,26629300224,9.5,2305732608,
126,29415034880,26618691584,9.5,2316390400,
127,29415034880,26609836032,9.5,2325213184,
128,29415034880,26583588864,9.6,2351468544,
129,29415034880,26628120576,9.5,2307162112,
130,29415034880,26595172352,9.6,2339917824,
131,29415034880,26655305728,9.4,2279776256,
132,29415034880,26631651328,9.5,2303393792,
133,29415034880,26616836096,9.5,2318241792,
134,29415034880,26625036288,9.5,2310033408,
135,29415034880,26523561984,9.8,2411528192,
136,29415034880,26636173312,9.4,2298916864,
137,29415034880,26638663680,9.4,2296418304,
138,29415034880,26632630272,9.5,2302423040,
139,29415034880,26630373376,9.5,2304925696,
140,29415034880,26620518400,9.5,2314571776,
141,29415034880,26621071360,9.5,2314006528,
142,29415034880,26639147008,9.4,2295873536,
143,29415034880,26624864256,9.5,2310172672,
144,29415034880,26634899456,9.5,2300162048,
145,29415034880,26627842048,9.5,2307207168,
146,29415034880,26629984256,9.5,2305298432,
147,29415034880,26627170304,9.5,2307870720,
148,29415034880,26626105344,9.5,2308984832,
149,29415034880,26637971456,9.4,2297102336,
150,29415034880,26636009472,9.4,2299072512,
151,29415034880,26621812736,9.5,2313265152,
152,29415034880,26634584064,9.5,2300506112,
153,29415034880,26626281472,9.5,2308808704,
154,29415034880,26621808640,9.5,2313461760,
155,29415034880,26525974528,9.8,2409058304,
156,29415034880,26626646016,9.5,2308427776,
157,29415034880,26623631360,9.5,2311454720,
158,29415034880,26615943168,9.5,2319110144,
159,29415034880,26610892800,9.5,2324193280,
160,29415034880,26597486592,9.6,2337587200,
161,29415034880,26630569984,9.5,2304499712,
162,29415034880,26624364544,9.5,2310696960,
163,29415034880,26634936320,9.5,2300321792,
164,29415034880,26639687680,9.4,2295386112,
165,29415034880,26607468544,9.5,2327793664,
166,29415034880,26627928064,9.5,2307358720,
167,29415034880,26608422912,9.5,2326667264,
168,29415034880,26652966912,9.4,2282119168,
169,29415034880,26624233472,9.5,2310811648,
170,29415034880,26621800448,9.5,2313240576,
171,29415034880,26608902144,9.5,2326188032,
172,29415034880,26618212352,9.5,2316869632,
173,29415034880,26613182464,9.5,2321895424,
174,29415034880,26613886976,9.5,2321203200,
175,29415034880,26603126784,9.6,2331906048,
176,29415034880,26612645888,9.5,2322444288,
177,29415034880,26493894656,9.9,2441146368,
178,29415034880,26631954432,9.5,2303102976,
179,29415034880,26617933824,9.5,2317365248,
180,29415034880,26600124416,9.6,2335174656,
181,29415034880,26603687936,9.6,2331619328,
182,29415034880,26657914880,9.4,2277167104,
183,29415034880,26633089024,9.5,2301943808,
184,29415034880,26623913984,9.5,2311180288,
185,29415034880,26617270272,9.5,2317807616,
186,29415034880,26608746496,9.5,2326335488,
187,29415034880,26606870528,9.5,2328170496,
188,29415034880,26633510912,9.5,2301579264,
189,29415034880,26612473856,9.5,2322612224,
190,29415034880,26599829504,9.6,2335227904,
191,29415034880,26624774144,9.5,2310299648,
192,29415034880,26603974656,9.6,2331103232,
193,29415034880,26617409536,9.5,2317688832,
194,29415034880,26634678272,9.5,2300407808,
195,29415034880,26627780608,9.5,2307506176,
196,29415034880,26616315904,9.5,2318766080,
197,29415034880,26629758976,9.5,2305335296,
198,29415034880,26517557248,9.9,2417496064,
199,29415034880,26626846720,9.5,2308222976,
