Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26922545152,8.5,2012004352,
1,29415034880,26744557568,9.1,2190569472,
2,29415034880,26810355712,8.9,2124726272,
3,29415034880,26813415424,8.8,2121842688,
4,29415034880,26782302208,9.0,2152771584,
5,29415034880,26775584768,9.0,2159493120,
6,29415034880,26768699392,9.0,2166362112,
7,29415034880,26791157760,8.9,2143891456,
8,29415034880,26773180416,9.0,2161901568,
9,29415034880,26761277440,9.0,2173800448,
10,29415034880,26811006976,8.9,2124242944,
11,29415034880,26808557568,8.9,2126471168,
12,29415034880,26796027904,8.9,2139033600,
13,29415034880,26770870272,9.0,2164195328,
14,29415034880,26782056448,9.0,2153017344,
15,29415034880,26777374720,9.0,2157690880,
16,29415034880,26796085248,8.9,2138939392,
17,29415034880,26803150848,8.9,2131931136,
18,29415034880,26797490176,8.9,2137571328,
19,29415034880,26785759232,8.9,2149298176,
20,29415034880,26769731584,9.0,2165350400,
21,29415034880,26774556672,9.0,2160459776,
22,29415034880,26755338240,9.0,2179964928,
23,29415034880,26770247680,9.0,2164789248,
24,29415034880,26780954624,9.0,2154074112,
25,29415034880,26768850944,9.0,2166181888,
26,29415034880,26766786560,9.0,2168283136,
27,29415034880,26783703040,8.9,2151358464,
28,29415034880,26769022976,9.0,2166042624,
29,29415034880,26752856064,9.1,2182225920,
30,29415034880,26767974400,9.0,2167074816,
31,29415034880,26762121216,9.0,2172960768,
32,29415034880,26745585664,9.1,2189496320,
33,29415034880,26636312576,9.4,2298769408,
34,29415034880,26778865664,9.0,2156392448,
35,29415034880,26778177536,9.0,2156904448,
36,29415034880,26796355584,8.9,2138890240,
37,29415034880,26794831872,8.9,2140459008,
38,29415034880,26773979136,9.0,2161102848,
39,29415034880,26773184512,9.0,2161889280,
40,29415034880,26765201408,9.0,2169880576,
41,29415034880,26794508288,8.9,2140573696,
42,29415034880,26753433600,9.0,2181640192,
43,29415034880,26754850816,9.0,2180194304,
44,29415034880,26771308544,9.0,2163748864,
45,29415034880,26783477760,8.9,2151604224,
46,29415034880,26768584704,9.0,2166448128,
47,29415034880,26758332416,9.0,2176704512,
48,29415034880,26770456576,9.0,2164617216,
49,29415034880,26760896512,9.0,2174128128,
50,29415034880,26763583488,9.0,2171707392,
51,29415034880,26780438528,9.0,2154840064,
52,29415034880,26778562560,9.0,2156486656,
53,29415034880,26784673792,8.9,2150371328,
54,29415034880,26775179264,9.0,2159878144,
