Channel_0,ValueToPredict,subjectID
processed_images_160/n01440764/n01440764_10027.JPEG,0,51
processed_images_160/n02102040/n02102040_1004.JPEG,1,51
processed_images_160/n01440764/ILSVRC2012_val_00010306.JPEG,0,10
processed_images_160/n02102040/ILSVRC2012_val_00008334.JPEG,1,10
processed_images_160/n02102040/ILSVRC2012_val_00015694.JPEG,1,16
processed_images_160/n01440764/ILSVRC2012_val_00017472.JPEG,0,16
processed_images_160/n01440764/ILSVRC2012_val_00012503.JPEG,0,13
processed_images_160/n02102040/ILSVRC2012_val_00014125.JPEG,1,13
processed_images_160/n01440764/n01440764_10040.JPEG,0,53
processed_images_160/n02102040/n02102040_1011.JPEG,1,53
processed_images_160/n02102040/ILSVRC2012_val_00019414.JPEG,1,23
processed_images_160/n01440764/ILSVRC2012_val_00024235.JPEG,0,23
processed_images_160/n02102040/n02102040_1028.JPEG,1,59
processed_images_160/n01440764/n01440764_1009.JPEG,0,59
processed_images_160/n02102040/ILSVRC2012_val_00016768.JPEG,1,18
processed_images_160/n01440764/ILSVRC2012_val_00017700.JPEG,0,18
processed_images_160/n01440764/ILSVRC2012_val_00000293.JPEG,0,0
processed_images_160/n02102040/ILSVRC2012_val_00000665.JPEG,1,0
processed_images_160/n01440764/ILSVRC2012_val_00048969.JPEG,0,49
processed_images_160/n02102040/ILSVRC2012_val_00049523.JPEG,1,49
processed_images_160/n01440764/n01440764_10227.JPEG,0,72
processed_images_160/n02102040/n02102040_107.JPEG,1,72
processed_images_160/n01440764/n01440764_10162.JPEG,0,67
processed_images_160/n02102040/n02102040_1057.JPEG,1,67
processed_images_160/n01440764/n01440764_10120.JPEG,0,63
processed_images_160/n02102040/n02102040_1037.JPEG,1,63
processed_images_160/n01440764/ILSVRC2012_val_00009379.JPEG,0,8
processed_images_160/n02102040/ILSVRC2012_val_00007568.JPEG,1,8
processed_images_160/n02102040/n02102040_1019.JPEG,1,56
processed_images_160/n01440764/n01440764_10048.JPEG,0,56
processed_images_160/n01440764/n01440764_10074.JPEG,0,58
processed_images_160/n02102040/n02102040_1027.JPEG,1,58
processed_images_160/n02102040/ILSVRC2012_val_00032959.JPEG,1,35
