Channel_0,ValueToPredict,subjectID
processed_images_160/n01440764/ILSVRC2012_val_00024327.JPEG,0,24
processed_images_160/n02102040/ILSVRC2012_val_00021016.JPEG,1,24
processed_images_160/n02979186/ILSVRC2012_val_00031964.JPEG,2,24
processed_images_160/n02979186/n02979186_10027.JPEG,2,54
processed_images_160/n02102040/n02102040_1014.JPEG,1,54
processed_images_160/n01440764/n01440764_10042.JPEG,0,54
processed_images_160/n01440764/n01440764_10462.JPEG,0,96
processed_images_160/n02102040/n02102040_1121.JPEG,1,96
processed_images_160/n02979186/n02979186_10591.JPEG,2,96
processed_images_160/n02979186/n02979186_10341.JPEG,2,79
processed_images_160/n02102040/n02102040_1082.JPEG,1,79
processed_images_160/n01440764/n01440764_10307.JPEG,0,79
processed_images_160/n01440764/n01440764_10449.JPEG,0,95
processed_images_160/n02102040/n02102040_1115.JPEG,1,95
processed_images_160/n02979186/n02979186_10585.JPEG,2,95
processed_images_160/n01440764/ILSVRC2012_val_00017699.JPEG,0,17
processed_images_160/n02102040/ILSVRC2012_val_00016582.JPEG,1,17
processed_images_160/n02979186/ILSVRC2012_val_00023674.JPEG,2,17
processed_images_160/n02102040/n02102040_1055.JPEG,1,66
processed_images_160/n02979186/n02979186_10186.JPEG,2,66
processed_images_160/n01440764/n01440764_10159.JPEG,0,66
processed_images_160/n02979186/n02979186_10289.JPEG,2,74
processed_images_160/n02102040/n02102040_1077.JPEG,1,74
processed_images_160/n01440764/n01440764_10251.JPEG,0,74
processed_images_160/n01440764/n01440764_10124.JPEG,0,64
processed_images_160/n02979186/n02979186_10151.JPEG,2,64
processed_images_160/n02102040/n02102040_1044.JPEG,1,64
processed_images_160/n01440764/ILSVRC2012_val_00037834.JPEG,0,38
processed_images_160/n02102040/ILSVRC2012_val_00037182.JPEG,1,38
processed_images_160/n02979186/ILSVRC2012_val_00042648.JPEG,2,38
processed_images_160/n02102040/n02102040_1036.JPEG,1,62
processed_images_160/n02979186/n02979186_10117.JPEG,2,62
processed_images_160/n01440764/n01440764_10110.JPEG,0,62
processed_images_160/n01440764/n01440764_10043.JPEG,0,55
processed_images_160/n02102040/n02102040_1016.JPEG,1,55
processed_images_160/n02979186/n02979186_10036.JPEG,2,55
processed_images_160/n02979186/n02979186_10313.JPEG,2,78
processed_images_160/n01440764/n01440764_10293.JPEG,0,78
processed_images_160/n02102040/n02102040_1081.JPEG,1,78
processed_images_160/n02102040/ILSVRC2012_val_00000665.JPEG,1,0
processed_images_160/n02979186/ILSVRC2012_val_00000557.JPEG,2,0
processed_images_160/n01440764/ILSVRC2012_val_00000293.JPEG,0,0
processed_images_160/n01440764/n01440764_10029.JPEG,0,52
processed_images_160/n02979186/n02979186_10013.JPEG,2,52
processed_images_160/n02102040/n02102040_1005.JPEG,1,52
processed_images_160/n02102040/n02102040_1064.JPEG,1,69
processed_images_160/n02979186/n02979186_10230.JPEG,2,69
processed_images_160/n01440764/n01440764_10194.JPEG,0,69
processed_images_160/n02102040/ILSVRC2012_val_00021205.JPEG,1,25
processed_images_160/n02979186/ILSVRC2012_val_00033397.JPEG,2,25
processed_images_160/n01440764/ILSVRC2012_val_00025129.JPEG,0,25
processed_images_160/n02102040/n02102040_107.JPEG,1,72
processed_images_160/n01440764/n01440764_10227.JPEG,0,72
processed_images_160/n02979186/n02979186_10263.JPEG,2,72
processed_images_160/n02979186/n02979186_10532.JPEG,2,90
processed_images_160/n01440764/n01440764_10382.JPEG,0,90
processed_images_160/n02102040/n02102040_1105.JPEG,1,90
processed_images_160/n01440764/n01440764_10331.JPEG,0,84
processed_images_160/n02102040/n02102040_1096.JPEG,1,84
processed_images_160/n02979186/n02979186_10387.JPEG,2,84
processed_images_160/n02102040/ILSVRC2012_val_00038569.JPEG,1,39
processed_images_160/n01440764/ILSVRC2012_val_00037861.JPEG,0,39
processed_images_160/n02979186/ILSVRC2012_val_00042982.JPEG,2,39
processed_images_160/n01440764/ILSVRC2012_val_00034654.JPEG,0,34
processed_images_160/n02979186/ILSVRC2012_val_00040604.JPEG,2,34
processed_images_160/n02102040/ILSVRC2012_val_00029518.JPEG,1,34
processed_images_160/n02102040/ILSVRC2012_val_00036282.JPEG,1,37
processed_images_160/n01440764/ILSVRC2012_val_00037596.JPEG,0,37
processed_images_160/n02979186/ILSVRC2012_val_00042482.JPEG,2,37
processed_images_160/n02102040/ILSVRC2012_val_00026521.JPEG,1,31
processed_images_160/n01440764/ILSVRC2012_val_00030740.JPEG,0,31
processed_images_160/n02979186/ILSVRC2012_val_00035751.JPEG,2,31
processed_images_160/n02979186/n02979186_10537.JPEG,2,91
processed_images_160/n02102040/n02102040_1106.JPEG,1,91
processed_images_160/n01440764/n01440764_10398.JPEG,0,91
processed_images_160/n02102040/ILSVRC2012_val_00002294.JPEG,1,2
processed_images_160/n02979186/ILSVRC2012_val_00003944.JPEG,2,2
